epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.825,2.99778,3.83312,2.36313,0,0,0,0,0,0,0,0.00153214,0.00124643,0.00124643
2,362.424,2.78171,3.44036,2.23056,0,0,0,0,0,0,0,0.00113125,0.00113125,0.00113125
3,524.173,2.66513,3.1484,2.14895,0,0,0,0,0,0,0,0.0010125,0.0010125,0.0010125
4,684.111,2.52783,3.06786,2.04584,0,0,0,0,0,0,0,0.00089375,0.00089375,0.00089375
5,842.848,2.45947,2.99411,1.98253,0,0,0,0,0,0,0,0.000775,0.000775,0.000775
6,997.626,2.41966,2.93932,1.93649,0,0,0,0,0,0,0,0.00065625,0.00065625,0.00065625
7,1152.15,2.33863,2.84099,1.89022,0,0,0,0,0,0,0,0.0005375,0.0005375,0.0005375
8,1306.78,2.30703,2.75899,1.85965,0,0,0,0,0,0,0,0.00041875,0.00041875,0.00041875
9,1460.36,2.342,2.89607,1.92418,0,0,0,0,0,0,0,0.0003,0.0003,0.0003
10,1709.61,2.30012,2.77431,1.90538,0.20373,0.16268,0.08573,0.03007,2.31864,3.12529,1.84598,0.00018125,0.00018125,0.00018125
